Date,SPY,IWM,XLU,VIX,TLT,HYG
2020-01-02,324.87,165.78,31.905,12.470000267028809,137.015,88.31
2020-01-03,322.41,165.13,31.97,14.020000457763672,139.08,88.22
2020-01-06,323.64,165.35,32.0,13.850000381469727,138.35,88.13
2020-01-07,322.73,164.8,31.955,13.789999961853027,137.64,88.05
2020-01-08,324.45,165.31,31.94,13.449999809265137,136.77,88.13
2020-01-09,326.65,165.51,32.115,12.539999961853027,137.245,88.36
2020-01-10,325.71,164.89,32.2,12.5600004196167,138.43,88.39
2020-01-13,327.95,165.96,32.395,12.319999694824219,137.99,88.39
2020-01-14,327.45,166.57,32.49,12.390000343322754,138.73,88.38
2020-01-15,328.19,167.37,32.945,12.420000076293945,139.63,88.4
2020-01-16,330.92,169.53,33.15,12.319999694824219,139.2,88.43
2020-01-17,331.95,169.07,33.38,12.100000381469727,138.07,88.36
2020-01-21,331.3,167.67,33.685,12.850000381469727,139.44,88.17
2020-01-22,331.34,167.56,33.79,12.90999984741211,139.96,88.33
2020-01-23,331.72,167.45,34.09,12.979999542236328,140.92,88.06
2020-01-24,328.77,165.39,34.18,14.5600004196167,142.09,87.69
2020-01-27,323.5,163.51,34.095,18.229999542236328,144.27,87.1
2020-01-28,326.89,164.87,34.235,16.280000686645508,143.14,87.85
2020-01-29,326.62,163.93,34.325,16.389999389648438,144.55,87.8
2020-01-30,327.68,163.93,34.645,15.489999771118164,144.57,87.89
2020-01-31,321.73,160.53,34.49,18.84000015258789,145.84,87.53
2020-02-03,324.12,162.32,34.6,17.969999313354492,145.55,87.15
2020-02-04,329.06,164.77,34.255,16.049999237060547,143.55,87.67
2020-02-05,332.86,167.31,34.395,15.149999618530273,142.02,88.03
2020-02-06,333.98,166.93,34.405,14.960000038146973,142.72,88.1
2020-02-07,332.2,164.88,34.295,15.470000267028809,144.39,87.97
2020-02-10,334.68,165.81,34.425,15.039999961853027,144.82,88.09
2020-02-11,335.26,166.96,34.55,15.180000305175781,144.1,88.15
2020-02-12,337.42,168.11,34.575,13.739999771118164,143.41,88.38
2020-02-13,337.06,168.55,34.96,14.149999618530273,143.9,88.41
2020-02-14,337.6,167.9,35.195,13.680000305175781,144.54,88.4
2020-02-18,336.73,167.54,35.49,14.829999923706055,145.47,88.22
2020-02-19,338.34,168.4,35.105,14.380000114440918,145.51,88.26
2020-02-20,336.95,168.81,35.23,15.5600004196167,146.65,88.41
2020-02-21,333.48,167.1,35.165,17.079999923706055,147.99,88.33
2020-02-24,322.42,162.07,34.755,25.030000686645508,150.27,87.38
2020-02-25,312.65,156.31,34.025,27.850000381469727,151.15,86.77
2020-02-26,311.5,154.5,33.68,27.559999465942383,150.33,86.86
2020-02-27,297.51,149.06,32.165,39.15999984741211,151.89,85.69
2020-02-28,296.26,146.33,31.09,40.11000061035156,155.4,86.04
2020-03-02,309.09,151.03,32.92,33.41999816894531,153.91,86.31
2020-03-03,300.24,147.95,32.515,36.81999969482422,156.36,85.94
2020-03-04,312.86,152.16,34.36,31.989999771118164,154.62,87.12
2020-03-05,302.46,147.32,33.83,39.619998931884766,158.48,86.02
2020-03-06,297.46,144.4,33.555,41.939998626708984,166.75,85.05
2020-03-09,274.23,130.36,31.73,54.459999084472656,170.67,81.39
2020-03-10,288.42,134.43,32.025,47.29999923706055,162.55,82.64
2020-03-11,274.36,125.88,30.415,53.900001525878906,156.78,80.84
2020-03-12,248.11,111.97,27.345,75.47000122070312,157.94,77.61
2020-03-13,269.32,119.47,28.835,57.83000183105469,153.94,80.05
2020-03-16,239.85,103.62,25.56,82.69000244140625,163.69,75.65
2020-03-17,252.8,108.37,28.83,75.91000366210938,153.36,76.36
2020-03-18,240.0,99.97,27.575,76.44999694824219,144.67,72.99
2020-03-19,240.51,103.87,25.97,72.0,148.25,71.35
2020-03-20,228.8,101.4,23.91,66.04000091552734,158.92,69.75
2020-03-23,222.95,99.9,22.465,61.59000015258789,166.31,68.63
2020-03-24,243.15,109.04,24.88,61.66999816894531,163.195,71.46
