Date,IWM
2020-01-02,165.78
2020-01-03,165.13
2020-01-06,165.35
2020-01-07,164.8
2020-01-08,165.31
2020-01-09,165.51
2020-01-10,164.89
2020-01-13,165.96
2020-01-14,166.57
2020-01-15,167.37
2020-01-16,169.53
2020-01-17,169.07
2020-01-21,167.67
2020-01-22,167.56
2020-01-23,167.45
2020-01-24,165.39
2020-01-27,163.51
2020-01-28,164.87
2020-01-29,163.93
2020-01-30,163.93
2020-01-31,160.53
2020-02-03,162.32
2020-02-04,164.77
2020-02-05,167.31
2020-02-06,166.93
2020-02-07,164.88
2020-02-10,165.81
2020-02-11,166.96
2020-02-12,168.11
2020-02-13,168.55
2020-02-14,167.9
2020-02-18,167.54
2020-02-19,168.4
2020-02-20,168.81
2020-02-21,167.1
2020-02-24,162.07
2020-02-25,156.31
2020-02-26,154.5
2020-02-27,149.06
2020-02-28,146.33
2020-03-02,151.03
2020-03-03,147.95
2020-03-04,152.16
2020-03-05,147.32
2020-03-06,144.4
2020-03-09,130.36
2020-03-10,134.43
2020-03-11,125.88
2020-03-12,111.97
2020-03-13,119.47
2020-03-16,103.62
2020-03-17,108.37
2020-03-18,99.97
2020-03-19,103.87
2020-03-20,101.4
2020-03-23,99.9
2020-03-24,109.04
2020-03-25,109.97
2020-03-26,116.81
2020-03-27,112.56
2020-03-30,115.04
2020-03-31,114.46
2020-04-01,106.66
2020-04-02,107.67
2020-04-03,104.62
2020-04-06,112.63
2020-04-07,112.92
2020-04-08,118.07
2020-04-09,123.72
2020-04-13,120.37
2020-04-14,122.81
2020-04-15,117.8
2020-04-16,116.91
2020-04-17,122.06
2020-04-20,120.62
2020-04-21,117.74
2020-04-22,119.17
2020-04-23,120.34
2020-04-24,122.41
2020-04-27,127.26
2020-04-28,129.11
2020-04-29,135.46
2020-04-30,130.31
2020-05-01,125.14
2020-05-04,125.68
2020-05-05,126.65
2020-05-06,125.72
2020-05-07,127.44
2020-05-08,132.36
2020-05-11,131.7
2020-05-12,126.97
2020-05-13,122.72
2020-05-14,123.12
2020-05-15,125.08
2020-05-18,132.68
2020-05-19,130.06
2020-05-20,134.0
