Date,TLT
2020-01-02,137.015
2020-01-03,139.08
2020-01-06,138.35
2020-01-07,137.64
2020-01-08,136.77
2020-01-09,137.245
2020-01-10,138.43
2020-01-13,137.99
2020-01-14,138.73
2020-01-15,139.63
2020-01-16,139.2
2020-01-17,138.07
2020-01-21,139.44
2020-01-22,139.96
2020-01-23,140.92
2020-01-24,142.09
2020-01-27,144.27
2020-01-28,143.14
2020-01-29,144.55
2020-01-30,144.57
2020-01-31,145.84
2020-02-03,145.55
2020-02-04,143.55
2020-02-05,142.02
2020-02-06,142.72
2020-02-07,144.39
2020-02-10,144.82
2020-02-11,144.1
2020-02-12,143.41
2020-02-13,143.9
2020-02-14,144.54
2020-02-18,145.47
2020-02-19,145.51
2020-02-20,146.65
2020-02-21,147.99
2020-02-24,150.27
2020-02-25,151.15
2020-02-26,150.33
2020-02-27,151.89
2020-02-28,155.4
2020-03-02,153.91
2020-03-03,156.36
2020-03-04,154.62
2020-03-05,158.48
2020-03-06,166.75
2020-03-09,170.67
2020-03-10,162.55
2020-03-11,156.78
2020-03-12,157.94
2020-03-13,153.94
2020-03-16,163.69
2020-03-17,153.36
2020-03-18,144.67
2020-03-19,148.25
2020-03-20,158.92
2020-03-23,166.31
2020-03-24,163.195
2020-03-25,162.6
2020-03-26,163.32
2020-03-27,167.81
2020-03-30,166.25
2020-03-31,165.0
2020-04-01,167.08
2020-04-02,167.96
2020-04-03,168.525
2020-04-06,168.02
2020-04-07,166.33
2020-04-08,165.08
2020-04-09,165.38
2020-04-13,163.94
2020-04-14,163.97
2020-04-15,168.1
2020-04-16,170.05
2020-04-17,167.81
2020-04-20,169.16
2020-04-21,171.14
2020-04-22,169.48
2020-04-23,170.43
2020-04-24,170.8
2020-04-27,167.67
2020-04-28,169.53
2020-04-29,168.68
2020-04-30,166.82
2020-05-01,167.9
2020-05-04,167.13
2020-05-05,166.08
2020-05-06,163.41
2020-05-07,166.1
2020-05-08,164.05
2020-05-11,162.72
2020-05-12,164.37
2020-05-13,165.55
2020-05-14,167.17
2020-05-15,166.71
2020-05-18,163.07
2020-05-19,163.66
2020-05-20,164.13
2020-05-21,164.6
2020-05-22,165.45
2020-05-26,163.3319
2020-05-27,163.09
2020-05-28,162.435
2020-05-29,163.54
2020-06-01,162.26
2020-06-02,161.65
2020-06-03,159.54
2020-06-04,157.26
2020-06-05,156.1
2020-06-08,156.7
2020-06-09,158.53
2020-06-10,160.81
2020-06-11,163.92
2020-06-12,162.31
2020-06-15,162.44
2020-06-16,159.99
2020-06-17,160.55
2020-06-18,162.29
2020-06-19,162.3715
2020-06-22,162.39
2020-06-23,161.3327
2020-06-24,163.0598
2020-06-25,163.46
2020-06-26,165.24
2020-06-29,164.6827
2020-06-30,163.94
2020-07-01,163.4
2020-07-02,163.58
2020-07-06,162.91
2020-07-07,165.19
2020-07-08,164.53
2020-07-09,167.16
2020-07-10,166.29
2020-07-13,166.88
2020-07-14,167.1
2020-07-15,166.31
2020-07-16,167.1
2020-07-17,166.76
2020-07-20,167.13
2020-07-21,167.28
2020-07-22,167.75
2020-07-23,169.74
2020-07-24,169.78
2020-07-27,169.09
2020-07-28,170.27
2020-07-29,169.99
2020-07-30,171.1
2020-07-31,171.0
2020-08-03,169.98
2020-08-04,171.54
2020-08-05,170.11
2020-08-06,171.02
2020-08-07,169.89
2020-08-10,169.1
2020-08-11,167.11
2020-08-12,165.6
2020-08-13,163.82
2020-08-14,163.2
2020-08-17,163.61
2020-08-18,164.78
2020-08-19,163.74
2020-08-20,165.21
2020-08-21,166.24
2020-08-24,165.9
2020-08-25,164.67
2020-08-26,164.06
2020-08-27,161.26
2020-08-28,161.16
2020-08-31,162.12
2020-09-01,163.91
2020-09-02,165.43
2020-09-03,165.89
2020-09-04,162.79
2020-09-08,163.77
2020-09-09,163.3
2020-09-10,164.13
2020-09-11,164.45
2020-09-14,164.47
2020-09-15,164.1
2020-09-16,163.62
2020-09-17,164.12
2020-09-18,163.57
2020-09-21,164.39
2020-09-22,164.264
2020-09-23,164.5
2020-09-24,165.1
2020-09-25,165.12
2020-09-28,164.64
2020-09-29,164.81
2020-09-30,163.3
2020-10-01,163.37
2020-10-02,162.73
2020-10-05,159.55
2020-10-06,160.43
2020-10-07,159.25
2020-10-08,160.16
2020-10-09,160.06
2020-10-12,160.575
2020-10-13,161.76
2020-10-14,162.12
2020-10-15,161.87
2020-10-16,161.43
2020-10-19,160.77
2020-10-20,159.27
2020-10-21,158.72
2020-10-22,157.01
2020-10-23,157.99
2020-10-26,159.485
2020-10-27,160.55
2020-10-28,160.75
2020-10-29,159.13
2020-10-30,157.58
2020-11-02,158.55
2020-11-03,157.68
2020-11-04,161.06
2020-11-05,161.37
2020-11-06,159.45
2020-11-09,156.11
2020-11-10,155.23
2020-11-11,155.76
2020-11-12,158.37
2020-11-13,158.14
2020-11-16,157.79
2020-11-17,158.83
2020-11-18,159.28
2020-11-19,160.06
2020-11-20,161.49
2020-11-23,160.78
2020-11-24,159.2
2020-11-25,158.71
2020-11-27,160.2
2020-11-30,160.04
2020-12-01,157.55
2020-12-02,156.26
2020-12-03,157.51
2020-12-04,155.18
2020-12-07,156.57
2020-12-08,157.33
2020-12-09,156.79
2020-12-10,158.23
2020-12-11,158.78
2020-12-14,158.32
2020-12-15,157.8
2020-12-16,157.39
2020-12-17,156.8
2020-12-18,156.36
2020-12-21,156.98
2020-12-22,157.76
2020-12-23,156.69
2020-12-24,157.27
2020-12-28,157.3407
2020-12-29,157.17
2020-12-30,157.481
2020-12-31,157.73
2021-01-04,157.55
2021-01-05,156.42
2021-01-06,153.18
2021-01-07,151.82
2021-01-08,151.38
2021-01-11,151.07
2021-01-12,150.97
2021-01-13,152.65
2021-01-14,151.24
2021-01-15,151.86
2021-01-19,152.36
2021-01-20,152.45
