Date,XLU
2020-01-02,31.905
2020-01-03,31.97
2020-01-06,32.0
2020-01-07,31.955
2020-01-08,31.94
2020-01-09,32.115
2020-01-10,32.2
2020-01-13,32.395
2020-01-14,32.49
2020-01-15,32.945
2020-01-16,33.15
2020-01-17,33.38
2020-01-21,33.685
2020-01-22,33.79
2020-01-23,34.09
2020-01-24,34.18
2020-01-27,34.095
2020-01-28,34.235
2020-01-29,34.325
2020-01-30,34.645
2020-01-31,34.49
2020-02-03,34.6
2020-02-04,34.255
2020-02-05,34.395
2020-02-06,34.405
2020-02-07,34.295
2020-02-10,34.425
2020-02-11,34.55
2020-02-12,34.575
2020-02-13,34.96
2020-02-14,35.195
2020-02-18,35.49
2020-02-19,35.105
2020-02-20,35.23
2020-02-21,35.165
2020-02-24,34.755
2020-02-25,34.025
2020-02-26,33.68
2020-02-27,32.165
2020-02-28,31.09
2020-03-02,32.92
2020-03-03,32.515
2020-03-04,34.36
2020-03-05,33.83
2020-03-06,33.555
2020-03-09,31.73
2020-03-10,32.025
2020-03-11,30.415
2020-03-12,27.345
2020-03-13,28.835
2020-03-16,25.56
2020-03-17,28.83
2020-03-18,27.575
2020-03-19,25.97
2020-03-20,23.91
2020-03-23,22.465
2020-03-24,24.88
2020-03-25,25.515
2020-03-26,27.69
2020-03-27,27.84
2020-03-30,28.87
2020-03-31,27.705
2020-04-01,26.04
2020-04-02,26.855
2020-04-03,25.895
2020-04-06,27.895
2020-04-07,27.545
2020-04-08,29.045
2020-04-09,30.415
2020-04-13,29.45
2020-04-14,30.315
2020-04-15,29.315
2020-04-16,29.32
2020-04-17,30.265
2020-04-20,29.12
2020-04-21,28.64
2020-04-22,29.475
2020-04-23,28.98
2020-04-24,29.16
2020-04-27,29.465
2020-04-28,29.575
2020-04-29,29.305
2020-04-30,28.63
2020-05-01,27.94
2020-05-04,28.15
2020-05-05,28.38
2020-05-06,27.415
2020-05-07,27.525
2020-05-08,28.08
2020-05-11,27.96
2020-05-12,27.715
2020-05-13,27.48
2020-05-14,27.775
2020-05-15,27.405
2020-05-18,28.53
2020-05-19,28.06
2020-05-20,28.215
2020-05-21,27.93
2020-05-22,28.24
2020-05-26,28.425
2020-05-27,28.765
2020-05-28,29.615
2020-05-29,29.845
2020-06-01,30.2
2020-06-02,30.395
2020-06-03,30.76
2020-06-04,30.21
2020-06-05,30.595
2020-06-08,31.415
2020-06-09,30.785
2020-06-10,30.605
2020-06-11,29.41
2020-06-12,29.335
2020-06-15,29.535
2020-06-16,29.67
2020-06-17,29.58
2020-06-18,29.575
2020-06-19,28.745
2020-06-22,28.785
2020-06-23,28.495
2020-06-24,28.235
2020-06-25,27.885
2020-06-26,27.59
2020-06-29,28.11
2020-06-30,28.215
2020-07-01,28.875
2020-07-02,28.95
2020-07-06,28.595
2020-07-07,28.48
2020-07-08,28.735
2020-07-09,28.35
2020-07-10,28.885
2020-07-13,28.915
2020-07-14,29.185
2020-07-15,29.07
2020-07-16,29.44
2020-07-17,30.105
2020-07-20,29.71
2020-07-21,29.845
2020-07-22,30.305
2020-07-23,30.34
2020-07-24,30.14
2020-07-27,29.775
2020-07-28,30.225
2020-07-29,30.365
2020-07-30,30.365
2020-07-31,30.415
2020-08-03,30.085
2020-08-04,30.415
2020-08-05,30.025
2020-08-06,30.2
2020-08-07,30.745
2020-08-10,30.735
2020-08-11,30.07
2020-08-12,30.505
2020-08-13,30.455
2020-08-14,30.19
2020-08-17,30.15
2020-08-18,30.015
2020-08-19,29.925
2020-08-20,29.66
2020-08-21,29.71
2020-08-24,29.97
2020-08-25,29.685
2020-08-26,29.355
2020-08-27,29.45
2020-08-28,29.535
2020-08-31,29.625
2020-09-01,29.285
2020-09-02,30.195
2020-09-03,29.855
2020-09-04,29.685
2020-09-08,29.52
2020-09-09,29.91
2020-09-10,29.395
2020-09-11,29.465
2020-09-14,29.87
2020-09-15,30.07
2020-09-16,30.03
2020-09-17,29.785
2020-09-18,29.26
2020-09-21,28.83
