Date,SPY_IWM,SPY_XLU,SPY_VIX,SPY_TLT,HYG_TLT,SPY_HYG
2020-01-02,,,,,,
2020-01-03,,,,,,
2020-01-06,,,,,,
2020-01-07,,,,,,
2020-01-08,,,,,,
2020-01-09,,,,,,
2020-01-10,,,,,,
2020-01-13,,,,,,
2020-01-14,,,,,,
2020-01-15,,,,,,
2020-01-16,,,,,,
2020-01-17,,,,,,
2020-01-21,,,,,,
2020-01-22,,,,,,
2020-01-23,,,,,,
2020-01-24,,,,,,
2020-01-27,,,,,,
2020-01-28,,,,,,
2020-01-29,,,,,,
2020-01-30,,,,,,
2020-01-31,,,,,,
2020-02-03,,,,,,
2020-02-04,,,,,,
2020-02-05,,,,,,
2020-02-06,,,,,,
2020-02-07,,,,,,
2020-02-10,,,,,,
2020-02-11,,,,,,
2020-02-12,,,,,,
2020-02-13,,,,,,
2020-02-14,,,,,,
2020-02-18,,,,,,
2020-02-19,,,,,,
2020-02-20,,,,,,
2020-02-21,,,,,,
2020-02-24,,,,,,
2020-02-25,,,,,,
2020-02-26,,,,,,
2020-02-27,,,,,,
2020-02-28,1.5673518691410544,0.3789162092019985,-1.62132760270334,-0.9638995121031935,-0.7937232887407079,1.0869693100616826
2020-03-02,1.6001897644072582,0.4606318579266692,-1.6120678195888238,-0.9382907028080737,-0.7823570827157763,1.102521357855008
2020-03-03,1.6307341769480044,0.5448383035145156,-1.5973082998170174,-0.9208361350051296,-0.7718783836281665,1.115725794681676
2020-03-04,1.6676084109608744,0.6484576664893518,-1.5791936968133187,-0.9112016454191958,-0.7655212804247341,1.1408973372389197
2020-03-05,1.7169629653575278,0.7535150016522774,-1.5586030897355114,-0.897279814265697,-0.7699229890795769,1.177458969198799
2020-03-06,1.7633646595503396,0.8529955326701206,-1.5350111383168807,-0.8616146675589551,-0.7756174931998917,1.2149170267066236
2020-03-09,1.7953504445404243,0.9412181841794738,-1.4717136410000922,-0.8295866371281002,-0.7572429224362767,1.2445483057996463
2020-03-10,1.8097444538574927,0.9962276609922179,-1.4586278966824802,-0.8253258701894467,-0.7457104168627096,1.273485160302037
2020-03-11,1.831028514110652,1.0596868765198377,-1.4444009267972988,-0.7917953524230948,-0.7005929826274186,1.3090746764798904
2020-03-12,1.8631461058148404,1.109926860911308,-1.420170451758538,-0.7587496349274447,-0.654819902528331,1.3431105111209747
2020-03-13,1.91096852270407,1.1796396111010419,-1.4046141150738356,-0.742469352176058,-0.6438127573719877,1.3972310659318283
2020-03-16,1.9575796320877423,1.2430890685103166,-1.4010502893056018,-0.7391428422531541,-0.6521375329355679,1.4795791381450594
2020-03-17,2.0073621344927837,1.2912273039656212,-1.4053563647983771,-0.7352524750062506,-0.6543597751060574,1.558325568260303
2020-03-18,2.0447798955003664,1.3298359370353967,-1.400707692743019,-0.7012574859864945,-0.6156487595810985,1.6043869889331628
2020-03-19,2.056522958031114,1.3534749780720219,-1.3914895524901716,-0.6581917298335631,-0.567921591336378,1.6292978208562172
2020-03-20,2.057587861646175,1.3767322793236223,-1.3668985168993342,-0.6376841834826137,-0.5211789861221711,1.6572448968966071
2020-03-23,2.0499158037155967,1.3833529075734978,-1.3501074186497513,-0.6166285496889524,-0.491567567110686,1.6715606056165604
2020-03-24,2.052738998566722,1.4090832000473137,-1.3170478497392086,-0.5854064419525054,-0.4579990975720666,1.6896889413026126
2020-03-25,2.0548054792032167,1.429316065237147,-1.2867819904951885,-0.5894406077658659,-0.456646699739819,1.6915470211874712
2020-03-26,2.0435963911098423,1.4338270959586166,-1.251984327859398,-0.597078772226529,-0.45560803557829266,1.6748771193929255
2020-03-27,2.029702065284513,1.4296500665553744,-1.20880042462266,-0.5972327189203334,-0.44467919778793685,1.6416048952210283
2020-03-30,2.0069180503310746,1.410871781904825,-1.1601585305571507,-0.5806012712077877,-0.41275269062855025,1.596448666145577
2020-03-31,1.9791532876953633,1.4065783378803993,-1.111458165206249,-0.5586384975466412,-0.38244003679040417,1.5551704222674947
2020-04-01,1.9554793944704882,1.399220356369753,-1.0734368731428232,-0.5585413338872461,-0.38514598479454565,1.5332000495364473
2020-04-02,1.9530665815621453,1.4080338988983292,-1.0378680690713735,-0.5605692514714526,-0.3864912447148086,1.527489660924694
2020-04-03,1.96090306258522,1.4162699514196608,-1.0180717552233784,-0.559998752463027,-0.3842628149866408,1.5187479100537875
2020-04-06,1.9747257810558918,1.4323246120160036,-1.007050331456005,-0.5581866983154475,-0.38063239711995955,1.5128108066245094
2020-04-07,1.9803117829531132,1.4395555488382636,-1.0077012767285274,-0.5551344223953384,-0.37482476550649146,1.4997134993982715
2020-04-08,1.9853279261807106,1.4472600060245209,-1.0098808291337154,-0.5524974080982127,-0.3701479321210199,1.49688405605059
2020-04-09,1.9814937243889983,1.4492743348002037,-1.015681206633261,-0.5522258373046511,-0.365677997527549,1.4683968501441804
2020-04-13,1.9765764631087532,1.4556088386838595,-1.0215328228401763,-0.5513362909182541,-0.3624642257837553,1.4448499640812995
2020-04-14,1.9712897850042772,1.4599216440153815,-1.0249541228911543,-0.5490037018139499,-0.35849272546691113,1.4229096729206394
2020-04-15,1.968324400537897,1.4666884152144752,-1.0297646634133746,-0.5469920606517514,-0.35515995773160747,1.4020056610078837
2020-04-16,1.9663700027817406,1.4702301925744732,-1.0341638991650632,-0.543884488808551,-0.3509755028742755,1.3807139774869643
2020-04-17,1.9632042711201059,1.4748662470569163,-1.0386041281355425,-0.5409443496144543,-0.3465538943602137,1.3583252244435777
2020-04-20,1.9593006451644321,1.480460661227537,-1.04358232549713,-0.5389577443085181,-0.3421944379445211,1.337953576523144
2020-04-21,1.9457971524810351,1.4822273164316793,-1.0387477268187086,-0.5367061177648516,-0.3358372695292281,1.3107452983899213
2020-04-22,1.9347786030400713,1.4908805564513037,-1.0328556926454726,-0.5309044442083939,-0.32759610200781875,1.2823703109165543
2020-04-23,1.920920505110858,1.496996396217653,-1.0238941652555666,-0.5342779498650565,-0.3242665112986683,1.252787907130904
2020-04-24,1.9034705227114508,1.4992770582936528,-0.9974257264245103,-0.542766210699378,-0.3250593424148084,1.2442675792680917
2020-04-27,1.8844137516805417,1.505782024620769,-0.9622788700252116,-0.5480460986885067,-0.3227724033083861,1.2336327593340133
2020-04-28,1.8438590724152717,1.5063705895526982,-0.8959876831000942,-0.5383020452098248,-0.305811520000275,1.2094746701917196
2020-04-29,1.8017957039239978,1.5018691442986878,-0.8282522532976154,-0.520541213514293,-0.288057155592548,1.188106003600134
