Instrument,TR.GICSSector,TR.PriceToBVPerShare,TR.Volume,TR.SharesOutstanding,TR.CompanyMarketCap,"TR.TotalReturn(SDate=-2Y, EDate=0, Frq=D)",TR.PriceClose(SDate=0),TR.PriceClose(SDate=-1M),TR.PriceClose(SDate=-1Y)
AAPL,Information Technology,45.0517227766744,61436228,14681140000,3967284462200.0,0.509090909,270.23,247.99,196.98
MSFT,Information Technology,8.03557891909476,48568190,7425629076,3139481717042.04,0.461014231,422.79,381.87,367.78
NVDA,Information Technology,31.162421214008,160324416,24300000000,4900824000000.0,4.354330709,201.68,172.7,101.49
GOOGL,Communication Services,9.94600517742248,25581881,6659000000,4120904320000.0,1.421247323,341.68,301.0,151.16
AMZN,Consumer Discretionary,6.54095911838757,52029291,10754387514,2694619335507.84,1.488862166,250.56,205.37,172.61
META,Communication Services,8.01881533581951,16283480,2538423304,1747831365969.2,0.137194171,688.55,593.66,501.48
COST,Consumer Staples,13.8262596652801,2346525,443652540,443603738220.6,0.838606926,999.89,972.33,994.5
QCOM,Information Technology,6.33982577037025,9667577,1067000000,145325400000.0,1.617712364,136.2,129.9,136.66
TXN,Information Technology,12.8093615190679,7091684,910463377,209242693302.14,2.348446894,229.82,187.19,148.44
ADI,Information Technology,5.36721357692659,5248167,488204157,181343434117.65,1.608856894,371.45,309.43,176.27
AMAT,Information Technology,14.5054796609802,6017902,793609867,315015500606.98,-0.163355641,396.94,357.06,137.46
JPM,Financials,2.28388809684653,4239710,2682219629,832265928682.41,1.942949408,310.29,286.56,231.96
BAC,Financials,1.27839790698584,19795371,7129908032,384373342005.12,2.055720855,53.91,47.16,37.41
GS,Financials,2.22072877026823,845191,294993942,273149640594.9,3.304455446,925.95,813.53,509.49
MS,Financials,2.67728556609762,1996545,1581386814,298597458219.48,1.577321862,188.82,161.47,109.18
WFC,Financials,1.39839415385218,5799865,3064300000,249464663000.0,1.242750621,81.41,77.6,64.71
C,Financials,1.06867309761651,3609757,1705600000,225446208000.0,3.060534325,132.18,109.52,63.25
JNJ,Health Care,6.91517653069898,3080435,2408613219,564049043625.42,0.81806504,234.18,235.37,157.47
UNH,Health Care,3.1252234619072,2070243,907675839,294658807614.57,-1.97553529,324.63,275.59,454.11
ABBV,Health Care,-112.657495170138,3361067,1768762377,368574704119.26,0.889369629,208.38,205.07,172.99
MRK,Health Care,5.60114453680777,7035012,2469879206,294088517058.42,0.92224519,119.07,114.18,78.0
LLY,Health Care,33.0076481628256,1000295,944818881,875875447253.43,0.69116493,927.03,906.7,839.96
TMO,Health Care,3.70952340664393,626461,371621362,195695809229.2,0.660817211,526.6,474.39,427.5
PG,Consumer Staples,6.43776364287158,3449791,2324000685,341465420647.05,1.517642595,146.93,144.28,170.63
KO,Consumer Staples,10.1288035064387,5361679,4304152877,325996538903.98,0.631543959,75.74,74.75,73.0
PEP,Consumer Staples,10.0871047093591,73870,1366768315,215498360226.05,1.390724671,157.73,150.06,142.85
WMT,Consumer Staples,10.1995392352439,194984,7972402501,1016481318877.5,NaN,127.49,119.025,
CL,Consumer Staples,1273.22894821468,1879490,802301915,68845527326.15,1.377252381,85.81,85.12,95.5
NEE,Utilities,3.50853977439611,2888415,2085302855,191806156602.9,1.570762053,91.98,89.5,66.31
DUK,Utilities,1.92136375911391,1171464,778117625,99622399528.75,-0.122149837,128.03,126.81,121.8
SO,Utilities,2.88389854508668,2071049,1127304104,106541510869.04,1.15038115,94.51,93.39,91.81
D,Utilities,1.88657222432404,1492714,878964717,54864977635.14,1.585072231,62.42,59.38,53.17
AEP,Utilities,2.31882037721785,15713,543563480,72652694736.8,0.819380121,133.62,125.61,107.65
SRE,Utilities,1.94122324329107,1469588,653344198,61427421495.96,1.498287671,94.02,91.72,71.12
XOM,Energy,2.35931299299169,7528138,4156559415,608686560732.6,0.567233901,146.44,159.67,106.92
CVX,Energy,1.96810202155401,3696191,1991898801,366489460395.99,1.2,183.99,201.73,137.87
COP,Energy,2.20460722818719,3091145,1218853041,141435706877.64,-0.038645849,116.04,126.92,88.98
SLB,Energy,3.01597748912669,5800623,1501133298,79049679472.68,-0.682046138,52.66,46.63,35.11
EOG,Energy,2.31465110295847,2271509,535715814,68801981992.02,0.54817151,128.43,138.73,110.5
MPC,Energy,3.64090042740158,1153669,294496878,62931037859.82,0.952235462,213.69,232.53,127.72
GE,Industrials,17.0777649767752,2055363,1044829602,317764026856.26,1.438605971,304.13,286.79,181.79
CAT,Industrials,17.3440555767187,720847,465287332,369740578373.8,0.831782552,794.65,680.88,294.25
HON,Industrials,10.6713402618147,34267,633653119,147989685942.45,0.571399155770624,233.46,221.53,185.26673568
MMM,Industrials,17.4297404384094,2240573,522396178,80736329309.9,0.379321556,154.55,141.2,130.21
UPS,Industrials,5.56830689592354,1635434,849672897,90439183156.68,1.814106605,106.44,95.86,96.43
LMT,Industrials,20.1772816544923,465000,230462118,136477361658.42,-0.547567206,592.19,627.43,464.08
